pid,cr_number,label,description,time,location,_date,id,notes,related
v01,,Stick N Poke,stick n poke video,,,April 2019,1_it2D5TP20,,
v02,,Mr. Blank Soft Opening,mr blank street show 1,,,May 25 2019,,,
v03,,Making Mr. *****,making mr blank,,,April 2020,DQPjSesk8t8,,**
v04,,RD 21.5.1 Metamorphosis I,Eastern Tent Caterpillar Performance,,,April 2021,McaRJ9cqkMk,,
v05,,Mr. Blank Grand Opening,Mr. Blank street show 2 with family tree for the first time,,,June 2019,,,
v06,,AR 18.25.20.80,9 to 5 stream,,,October 2021,j7yPlc86qf4,,**
v07,,RD 5.2,Blank Inc. University Show in Malden,,,May 2021,YO3J0KLEBbo,,
v08,,Skilled Vision,Slide presentation of the making and motifs and symbols of Untitled Self Portrait as the Magician,,,,6DAiXN1QGWA,,**
v09,,Me,Record of the creation of Untitled Self Portrait,,,October 2020,ASjor6046-k,,**
v10,,Not So Lonely Hearts Club,,,,,w9vwkTrUJmM,,